10887,10845,10843,10796,10715,10701,10655,10593,10583,10581
10548,10453,10429,10424,10330,10295,10263,10171,10168,10147
10126,10029,9983,9883,9670,9544,9526,9499,9475,9260
9197,9045,8911,8904,8850,8817,8763,8734,8699,8558
8482,8433,8280,8182,8163,8069,8020,7990,7979,7965
7937,7840,7808,7787,7705,7683,7498,7494,7450,7418
7374,7280,7044,7010,6882,6778,6729,6728,6721,6600
6439,6428,6368,6303,6271,6255,6233,6195,6181,5978
5961,5916,5899,5880,5823,5743,5697,5630,5622,5601
5561,5552,5433,5432,5399,5322,5314,5206,5176,5138
5079,5065,4997,4859,4836,4819,4815,4794,4733,4720
4519,4518,4513,4506,4473,4339,4334,4304,4291,4228
4076,4046,3959,3854,3846,3838,3831,3827,3728,3717
3684,3680,3580,3566,3559,3461,3421,3136,2942,2793
2780,2736,2721,2627,2622,2610,2553,2485,2462,2111
2086,2073,2036,2009,1708,1629,1627,1556,1533,1513
1362,1300,1280,1228,1227,1225,1028,1016,1014,832
697,649,556,395,294,178,126,45,44,43
